Item Number,Product Group,Product Line,Product Sub Group,Product Type
10685,Deli,Food,Hot Dogs,Meat
10686,Deli,Food,Bologna,Meat
10687,Deli,Food,Bologna,Meat
10688,Deli,Food,Bologna,Meat
10689,Deli,Food,Hot Dogs,Meat
10690,Deli,Food,Hot Dogs,Meat
10691,Deli,Food,Deli Salads,Side Dishes
10692,Deli,Food,Deli Salads,Side Dishes
10693,Deli,Food,Fresh Chicken,Meat
10694,Deli,Food,Deli Meats,Meat
10695,Deli,Food,Deli Meats,Meat
10696,Deli,Food,Deli Meats,Meat
10697,Deli,Food,Deli Salads,Side Dishes
10698,Deli,Food,Deli Meats,Meat
10699,Eggs,Food,Eggs,Eggs
10700,Eggs,Food,Eggs,Eggs
10701,Eggs,Food,Eggs,Eggs
10702,Eggs,Food,Eggs,Eggs
10703,Eggs,Food,Eggs,Eggs
10704,Frozen Foods,Food,Waffles,Breakfast Foods
10705,Frozen Foods,Food,Popsicles,Frozen Desserts
10706,Frozen Foods,Food,Frozen Chicken,Meat
10707,Frozen Foods,Food,Pancakes,Breakfast Foods
10708,Frozen Foods,Food,French Fries,Vegetables
10709,Frozen Foods,Food,Pizza,Pizza
10710,Frozen Foods,Food,Waffles,Breakfast Foods
10711,Frozen Foods,Food,French Fries,Vegetables
10712,Frozen Foods,Food,Waffles,Breakfast Foods
10713,Frozen Foods,Food,Pizza,Pizza
10714,Frozen Foods,Food,Pizza,Pizza
10715,Frozen Foods,Food,Pizza,Pizza
10716,Frozen Foods,Food,Waffles,Breakfast Foods
10717,Frozen Foods,Food,Frozen Vegetables,Vegetables
10718,Frozen Foods,Food,TV Dinner,Frozen Entrees
10719,Frozen Foods,Food,TV Dinner,Frozen Entrees
10720,Frozen Foods,Food,TV Dinner,Frozen Entrees
10721,Frozen Foods,Food,Pancake Mix,Breakfast Foods
10722,Frozen Foods,Food,Popsicles,Frozen Desserts
10723,Frozen Foods,Food,French Fries,Vegetables
10724,Frozen Foods,Food,Popsicles,Frozen Desserts
10725,Frozen Foods,Food,Ice Cream,Frozen Desserts
10726,Frozen Foods,Food,Ice Cream,Frozen Desserts
10727,Frozen Foods,Food,Frozen Vegetables,Vegetables
10728,Frozen Foods,Food,Frozen Vegetables,Vegetables
10729,Frozen Foods,Food,Frozen Vegetables,Vegetables
10730,Frozen Foods,Food,Frozen Vegetables,Vegetables
10731,Frozen Foods,Food,Ice Cream,Frozen Desserts
10732,Frozen Foods,Food,Frozen Chicken,Meat
10733,Frozen Foods,Food,Frozen Chicken,Meat
10734,Frozen Foods,Food,Popsicles,Frozen Desserts
10786,Meat,Food,Hamburger,Meat
10787,Meat,Food,Hamburger,Meat
10793,Produce,Food,Fresh Vegetables,Vegetables
10794,Produce,Food,Fresh Vegetables,Vegetables
10795,Produce,Food,Fresh Vegetables,Vegetables
10796,Produce,Food,Fresh Vegetables,Vegetables
10797,Produce,Food,Fresh Vegetables,Vegetables
10799,Produce,Food,Fresh Vegetables,Vegetables
10800,Produce,Food,Fresh Vegetables,Vegetables
10801,Produce,Food,Fresh Vegetables,Vegetables
10802,Produce,Food,Fresh Vegetables,Vegetables
10803,Produce,Food,Fresh Vegetables,Vegetables
10804,Produce,Food,Fresh Vegetables,Vegetables
10805,Produce,Food,Fresh Vegetables,Vegetables
10806,Produce,Food,Fresh Vegetables,Vegetables
10807,Produce,Food,Fresh Vegetables,Vegetables
10808,Produce,Food,Fresh Vegetables,Vegetables
10809,Produce,Food,Fresh Vegetables,Vegetables
10810,Produce,Food,Fresh Vegetables,Vegetables
10811,Produce,Food,Fresh Vegetables,Vegetables
10812,Produce,Food,Fresh Vegetables,Vegetables
10813,Produce,Food,Fresh Vegetables,Vegetables
10814,Produce,Food,Fresh Vegetables,Vegetables
10815,Produce,Food,Fresh Fruit,Fruit
10816,Produce,Food,Tofu,Packaged Vegetables
10817,Produce,Food,Nuts,Specialty
10818,Produce,Food,Fresh Fruit,Fruit
10819,Produce,Food,Fresh Fruit,Fruit
10820,Produce,Food,Fresh Fruit,Fruit
10821,Produce,Food,Fresh Fruit,Fruit
10822,Produce,Food,Fresh Fruit,Fruit
10823,Produce,Food,Fresh Fruit,Fruit
10824,Produce,Food,Fresh Fruit,Fruit
10825,Produce,Food,Fresh Vegetables,Vegetables
10826,Produce,Food,Fresh Fruit,Fruit
10827,Produce,Food,Nuts,Specialty
10828,Produce,Food,Nuts,Specialty
10829,Produce,Food,Fresh Vegetables,Vegetables
10830,Produce,Food,Fresh Fruit,Fruit
10831,Produce,Food,Fresh Fruit,Fruit
10832,Produce,Food,Fresh Fruit,Fruit
10833,Produce,Food,Nuts,Specialty
10834,Produce,Food,Fresh Fruit,Fruit
10835,Produce,Food,Fresh Fruit,Fruit
10836,Produce,Food,Nuts,Specialty
10837,Seafood,Food,Fresh Fish,Seafood
10838,Seafood,Food,Shellfish,Seafood
10839,Snacks,Food,Cookies,Snack Foods
10840,Snacks,Food,Chips,Snack Foods
10841,Snacks,Food,Chips,Snack Foods
10842,Snacks,Food,Chips,Snack Foods
10843,Snacks,Food,Cookies,Snack Foods
10844,Snacks,Food,Cookies,Snack Foods
10845,Snacks,Food,Cookies,Snack Foods
10846,Snacks,Food,Cookies,Snack Foods
10847,Snacks,Food,Chips,Snack Foods
10848,Snacks,Food,Cookies,Snack Foods
10849,Snacks,Food,Cookies,Snack Foods
10850,Snacks,Food,Crackers,Snack Foods
10851,Snacks,Food,Popcorn,Snack Foods
10852,Snacks,Food,Popcorn,Snack Foods
10853,Snacks,Food,Popcorn,Snack Foods
10854,Snacks,Food,Dips,Snack Foods
10855,Snacks,Food,Dips,Snack Foods
10856,Snacks,Food,Pretzels,Snack Foods
10857,Snacks,Food,Dips,Snack Foods
10858,Snacks,Food,Dips,Snack Foods
10859,Snacks,Food,Donuts,Snack Foods
10860,Snacks,Food,Dried Meat,Snack Foods
10861,Snacks,Food,Donuts,Snack Foods
10862,Snacks,Food,Chips,Snack Foods
10863,Snacks,Food,Crackers,Snack Foods
10864,Snacks,Food,Cookies,Snack Foods
10865,Snacks,Food,Dried Fruit,Snack Foods
10866,Snacks,Food,Dried Fruit,Snack Foods
10867,Snacks,Food,Dried Fruit,Snack Foods
10868,Snacks,Food,Dried Fruit,Snack Foods
10869,Snacks,Food,Dried Fruit,Snack Foods
10870,Snacks,Food,Dried Fruit,Snack Foods
10871,Snacks,Food,Dried Fruit,Snack Foods
10872,Snacks,Food,Dried Fruit,Snack Foods
10873,Snacks,Food,Dried Fruit,Snack Foods
10874,Snacks,Food,Donuts,Snack Foods
10875,Snacks,Food,Chocolate Candy,Candy
10876,Snacks,Food,Chocolate Candy,Candy
10877,Snacks,Food,Chocolate Candy,Candy
10878,Snacks,Food,Chocolate Candy,Candy
10879,Snacks,Food,Gum,Candy
10880,Snacks,Food,Hard Candy,Candy
10881,Snacks,Food,Hard Candy,Candy
10882,Snacks,Food,Chocolate Candy,Candy
10883,Starchy Foods,Food,Pasta,Starchy Foods
10884,Starchy Foods,Food,Pasta,Starchy Foods
10885,Starchy Foods,Food,Pasta,Starchy Foods
10886,Starchy Foods,Food,Rice,Starchy Foods
10887,Starchy Foods,Food,Rice,Starchy Foods
10888,Starchy Foods,Food,Pasta,Starchy Foods
10889,Starchy Foods,Food,Pasta,Starchy Foods
10890,Starchy Foods,Food,Pasta,Starchy Foods
10891,Starchy Foods,Food,Rice,Starchy Foods
10892,Starchy Foods,Food,Rice,Starchy Foods
10893,Alcoholic Beverages,Drink,Beer,Beer and Wine
10894,Alcoholic Beverages,Drink,Wine,Beer and Wine
10895,Alcoholic Beverages,Drink,Wine,Beer and Wine
10896,Alcoholic Beverages,Drink,Wine,Beer and Wine
10897,Alcoholic Beverages,Drink,Wine,Beer and Wine
10898,Alcoholic Beverages,Drink,Wine,Beer and Wine
10899,Alcoholic Beverages,Drink,Wine,Beer and Wine
10900,Alcoholic Beverages,Drink,Beer,Beer and Wine
10901,Baked Goods,Food,Sliced Bread,Bread
10902,Baked Goods,Food,Sliced Bread,Bread
10903,Baked Goods,Food,Sliced Bread,Bread
10908,Baked Goods,Food,Muffins,Bread
10909,Baked Goods,Food,Sliced Bread,Bread
10910,Baking Goods,Food,Cooking Oil,Baking Goods
10911,Baking Goods,Food,Peanut Butter,Jams and Jellies
10912,Beverages,Drink,Chocolate,Hot Beverages
10913,Baking Goods,Food,Sugar,Baking Goods
10914,Baking Goods,Food,Sugar,Baking Goods
10915,Beverages,Drink,Coffee,Hot Beverages
10916,Beverages,Drink,Coffee,Hot Beverages
10917,Beverages,Drink,Coffee,Hot Beverages
10918,Baking Goods,Food,Cooking Oil,Baking Goods
10919,Baking Goods,Food,Cooking Oil,Baking Goods
10920,Baking Goods,Food,Sauces,Baking Goods
10921,Baking Goods,Food,Cooking Oil,Baking Goods
10922,Baking Goods,Food,Preserves,Jams and Jellies
10923,Beverages,Drink,Coffee,Hot Beverages
10924,Baking Goods,Food,Jelly,Jams and Jellies
10925,Baking Goods,Food,Spices,Baking Goods
10926,Baking Goods,Food,Preserves,Jams and Jellies
10927,Baking Goods,Food,Spices,Baking Goods
10928,Baking Goods,Food,Preserves,Jams and Jellies
10929,Baking Goods,Food,Spices,Baking Goods
10930,Baking Goods,Food,Jelly,Jams and Jellies
10931,Baking Goods,Food,Jam,Jams and Jellies
10932,Baking Goods,Food,Jam,Jams and Jellies
10933,Baking Goods,Food,Jam,Jams and Jellies
10934,Baking Goods,Food,Peanut Butter,Jams and Jellies
10935,Baking Goods,Food,Preserves,Jams and Jellies
10936,Baking Goods,Food,Peanut Butter,Jams and Jellies
10937,Baking Goods,Food,Preserves,Jams and Jellies
10938,Baking Goods,Food,Jelly,Jams and Jellies
10939,Beverages,Drink,Juice,Pure Juice Beverages
10940,Beverages,Drink,Flavored Drinks,Drinks
10941,Beverages,Drink,Flavored Drinks,Drinks
10942,Beverages,Drink,Soda,Carbonated Beverages
10943,Beverages,Drink,Soda,Carbonated Beverages
10944,Beverages,Drink,Soda,Carbonated Beverages
10945,Beverages,Drink,Soda,Carbonated Beverages
10946,Beverages,Drink,Juice,Pure Juice Beverages
10947,Beverages,Drink,Juice,Pure Juice Beverages
10948,Beverages,Drink,Juice,Pure Juice Beverages
10949,Beverages,Drink,Flavored Drinks,Drinks
10950,Breakfast Foods,Food,Cereal,Breakfast Foods
10951,Breakfast Foods,Food,Cereal,Breakfast Foods
10952,Breakfast Foods,Food,Cereal,Breakfast Foods
10953,Breakfast Foods,Food,Cereal,Breakfast Foods
10954,Canned Products,Food,Canned Vegetables,Vegetables
10955,Canned Products,Food,Canned Vegetables,Vegetables
10956,Canned Products,Food,Canned Vegetables,Vegetables
10957,Canned Products,Food,Soup,Canned Soup
10958,Canned Products,Food,Canned Vegetables,Vegetables
10959,Canned Products,Food,Soup,Canned Soup
10960,Canned Products,Food,Canned Vegetables,Vegetables
10961,Canned Products,Food,Soup,Canned Soup
10962,Canned Products,Food,Soup,Canned Soup
10963,Canned Products,Food,Soup,Canned Soup
10964,Canned Products,Food,Soup,Canned Soup
10965,Canned Products,Food,Soup,Canned Soup
10966,Canned Products,Food,Canned Vegetables,Vegetables
10967,Canned Products,Food,Soup,Canned Soup
10968,Canned Products,Food,Tuna,Canned Tuna
10969,Canned Products,Food,Tuna,Canned Tuna
10970,Canned Products,Food,Shrimp,Canned Shrimp
10971,Canned Products,Food,Anchovies,Canned Anchovies
10972,Canned Products,Food,Clams,Canned Clams
10973,Canned Products,Food,Oysters,Canned Oysters
10974,Canned Products,Food,Sardines,Canned Sardines
10975,Canned Products,Food,Soup,Canned Soup
10976,Canned Products,Food,Canned Fruit,Fruit
10977,Canned Products,Food,Canned Fruit,Fruit
10981,Dairy,Food,Cottage Cheese,Dairy
10982,Dairy,Food,Sour Cream,Dairy
10983,Dairy,Food,Sour Cream,Dairy
10984,Dairy,Food,Cheese,Dairy
10985,Dairy,Food,Cheese,Dairy
10986,Dairy,Food,Cheese,Dairy
10987,Dairy,Food,Cheese,Dairy
10988,Dairy,Food,Cheese,Dairy
10989,Dairy,Food,Cheese,Dairy
10990,Dairy,Food,Cheese,Dairy
10991,Dairy,Food,Cheese,Dairy
10992,Dairy,Food,Cheese,Dairy
10993,Dairy,Food,Cottage Cheese,Dairy
10994,Dairy,Drink,Milk,Dairy
10995,Dairy,Drink,Milk,Dairy
10996,Dairy,Drink,Milk,Dairy
10997,Dairy,Drink,Milk,Dairy
10998,Dairy,Drink,Milk,Dairy
10999,Dairy,Food,Yogurt,Dairy
11000,Dairy,Food,Yogurt,Dairy
11001,Deli,Food,Hot Dogs,Meat
11008,Baked Goods,Food,Sliced Bread,Bread
11021,Deli,Food,Bologna,Meat
11052,Deli,Food,Hot Dogs,Meat
11100,Deli,Food,Hot Dogs,Meat
11101,Deli,Food,Deli Salads,Side Dishes
11112,Deli,Food,Deli Salads,Side Dishes
11241,Deli,Food,Fresh Chicken,Meat
11247,Deli,Food,Deli Meats,Meat
11249,Deli,Food,Deli Meats,Meat
11373,Deli,Food,Deli Salads,Side Dishes
11793,Deli,Food,Fresh Chicken,Meat
11925,Eggs,Food,Eggs,Eggs
11971,Eggs,Food,Eggs,Eggs
